Order_ID,Order_Date,Category,Sub_Category,Region,Segment,Sales,Profit,Discount,Quantity
CA-1001,2024-01-15,Technology,Phones,East,Consumer,1250.50,320.00,0.1,3
CA-1002,2024-01-18,Furniture,Chairs,West,Corporate,480.00,75.20,0.15,2
CA-1003,2024-02-02,Office Supplies,Paper,Central,Consumer,120.40,45.10,0.0,5
CA-1004,2024-02-14,Technology,Accessories,South,Home Office,340.00,110.50,0.05,4
CA-1005,2024-03-01,Furniture,Bookcases,East,Consumer,890.00,-60.00,0.25,2
CA-1006,2024-03-10,Technology,Laptops,West,Corporate,2450.00,580.00,0.1,1
CA-1007,2024-03-22,Office Supplies,Storage,Central,Corporate,210.00,32.00,0.1,3
CA-1008,2024-04-05,Furniture,Tables,South,Consumer,670.00,-45.00,0.2,1
CA-1009,2024-04-18,Technology,Phones,West,Consumer,1890.00,420.00,0.05,2
CA-1010,2024-05-02,Office Supplies,Binders,East,Corporate,95.00,28.00,0.0,6
CA-1011,2024-05-15,Technology,Laptops,East,Home Office,3100.00,740.00,0.15,2
CA-1012,2024-06-01,Furniture,Chairs,Central,Consumer,520.00,88.00,0.1,2
CA-1013,2024-06-12,Office Supplies,Appliances,West,Home Office,410.00,95.00,0.0,2
CA-1014,2024-06-25,Technology,Accessories,South,Corporate,280.00,85.00,0.0,3
CA-1015,2024-07-04,Furniture,Bookcases,West,Consumer,780.00,-30.00,0.2,2
CA-1016,2024-07-19,Office Supplies,Storage,East,Consumer,320.00,64.00,0.05,4
CA-1017,2024-08-08,Technology,Phones,Central,Corporate,1450.00,310.00,0.1,2
CA-1018,2024-08-20,Furniture,Tables,West,Home Office,920.00,-15.00,0.15,2
CA-1019,2024-09-02,Office Supplies,Paper,South,Consumer,85.00,35.00,0.0,4
CA-1020,2024-09-18,Technology,Laptops,Central,Consumer,2800.00,690.00,0.1,1
CA-1021,2024-10-05,Furniture,Chairs,East,Corporate,610.00,105.00,0.05,2
CA-1022,2024-10-22,Office Supplies,Binders,West,Consumer,140.00,42.00,0.0,5
CA-1023,2024-11-11,Technology,Accessories,East,Home Office,490.00,150.00,0.05,5
CA-1024,2024-11-28,Office Supplies,Storage,South,Corporate,380.00,72.00,0.1,3
